id,legacy_pid_tesim
bg257f32c,tufts:pa.coroner.northumberlandcounty.1789
8s45q910p,tufts:pa.assembly.bucks.1817
hh63sw15j,tufts:pa.assembly.bucks.1815
5712m6923,tufts:nc.uscongress2.1803
t148fh37d,tufts:nc.uscongress4.1817
6108vb52h,tufts:nc.uscongress4.1798
qr46r108p,tufts:nc.houseofcommons.person.1812
tq57nr35p,tufts:nc.houseofcommons.perquimans.1797
37720c97z,tufts:nc.statesenator.johnston.1805
6m311p651,tufts:ma.governor.1824
n296wz498,tufts:sc.uscongress.sumter.1812
5x21tf626,tufts:sc.uscongress.washington.1796
37720c987,tufts:sc.senate.charlestoncity.1808
1j92g7715,tufts:ma.housesclerk.1818
0r967404d,tufts:ma.housesclerk.1816
5712m694n,tufts:va.courtofappealsjudge.second.1811
zw12z549f,tufts:va.executivecouncil.first.1817
wm117p29p,tufts:pa.uscongress8.1810
6w924c14h,tufts:pa.coroner.somerset.1807
sb397852n,tufts:nc.houseofcommons.randolph.1824
7s75dc644,tufts:nc.houseofcommons.richmond.1812
h989r345z,tufts:pa.auditor.northampton.1821
cz30ps97x,tufts:pa.commissioner.adams.1807
ww72bb82z,tufts:pa.commissioner.adams.1812
5q47rn983,tufts:nc.statesenator.granville.1812
m039k518k,tufts:nc.statesenator.granville.1813
bn9996998,tufts:nc.statesenator.guilford.1817
0k225b35p,tufts:nh.uscongress.2.1796
bk128b192,tufts:nj.uscongress.southern.1798
6w924c162,tufts:pa.commissioner.dauphincounty.1797
7m01bm002,tufts:pa.assembly.philadelphiacounty.1819
pz50gw37k,tufts:pa.assembly.northumberland.1816
f1881m11v,tufts:pa.assembly.mifflin.1810
kw52j841t,tufts:ma.staterepresentative.weston.1793
w66343913,tufts:ma.staterepresentative.fitchburg.1809
73666474j,tufts:pa.assembly.huntingdon.1812
x346d4628,tufts:nh.register.strafford.1802
mk61rh20x,tufts:nh.register.strafford.1798
05741r98q,tufts:md.assembly.prince.georges.county.1824
0k225b39s,tufts:pa.assembly.northumberland.1817
02870w15x,tufts:pa.assembly.mercervenangocounties.1810
8w32r5837,tufts:pa.coroner.northumberland.1821
qj72p738n,tufts:pa.coroner.northumberland.1818
6t053g27c,tufts:pa.coroner.northumberlandcounty.1794
t722h914k,tufts:pa.commissioner.bedford.1807
c534fp21q,tufts:pa.commissioner.2year.chester.1809
n870zr18r,tufts:pa.commissioner.bedford.1818
cv43nx22t,tufts:nj.ussenate.1798
mk61rh22g,tufts:nj.sheriff.salem.1807
9880vr180,tufts:pa.assembly.bucks.1813
2f75r840s,tufts:pa.assembly.northumberland.1802
kp78gg68r,tufts:pa.assembly.franklin.1802
5t34sj82f,tufts:pa.assembly.montgomerycounty.1791
73666478n,tufts:ma.statelegislature.salem.1805
d504rk602,tufts:pa.commissioner.chester.1802
wd375w55t,tufts:pa.commissioner.chester.1805
9593tv387,tufts:ma.staterepresentative.fitchburg.3.1810
pz50gw415,tufts:pa.commissioner.centrecounty.1824
bv73c0623,tufts:ma.staterepresentative.nantucket.1822
wh246s40f,tufts:pa.us.senate2.1801
w9505075z,tufts:tn.assembly.smith.1813
qz20ss74c,tufts:tn.commons.1.1823
1j92g777t,tufts:pa.assembly.buckscounty.1822
x059c7664,tufts:pa.assembly.buckscounty.1824
08612n87f,tufts:pa.assembly.buckscounty.1790
pv63g064d,tufts:vt.uscongress.eastern.special.1797
6m311p715,tufts:pa.assembly.westmorelandcounty.1822
nc580m96k,tufts:pa.assembly.york.1801
bk128b299,tufts:md.assembly.washington.county.1811
0r967409s,tufts:pa.bankdirector.bankofphiladelphia.assembly.1808
3t945r00n,tufts:md.citycouncil.baltimore.firstbranch2.1817
d217qp75f,tufts:nj.sheriff.somerset.1824
pg15bf189,tufts:ny.specialelectioncongress9.1822
m900nt748,tufts:md.assembly.kent.county.1822
pv63g065p,tufts:ny.specialuscongress1.1799
nc580m97v,tufts:pa.commissioner.cumberland.1801
bv73c065x,tufts:pa.commissioner.crawford.1814
9306sz72b,tufts:pa.assembly.centre.1812
xp68kg502,tufts:md.mayor.baltimore10.1824
hm50ts048,tufts:md.mayor.baltimore12.1824
vm40xr84r,tufts:pa.auditor.northampton.1809
1r66j147v,tufts:ma.senator.essex.1813
sq87bt88v,tufts:pa.burgess.washington.boroughofwashington.1810
rf55z8035,tufts:md.citycouncil.baltimore.secondbranch11.1822
z316q193x,tufts:md.city.council.baltimore.city.8.1821
8s45q917m,tufts:md.citycouncil.baltimore.secondbranch7.1824
n009w255c,tufts:ma.staterepresentative.fitchburg.1807
8s45q918w,tufts:nj.uscongress.1814
9w032341q,tufts:nj.sheriff.morris.1799
t722h918p,tufts:oh.staterepresentative.fairfield.1807
jh343s673,tufts:oh.staterepresentative.warren.1807
rf55z786q,tufts:pa.inspector.philadelphiacity.cedar.1811
m326m1871,tufts:pa.inspector.cedar.1818
000000221,tufts:mo.assembly.howard.1822
3t945q85r,tufts:sc.assembly.st.pauls.1796
6q182k28d,tufts:tn.assembly.davidson.1805
8049g514q,tufts:va.houseofdelegates.henrico.1818
rf55z7870,tufts:nc.uscongress8.1800
n296wz34n,tufts:sc.uscongress.orangeburg.1803
d504rk43d,tufts:ny.assembly.columbia.1788
8910jt74h,tufts:nc.ussenator.1800
2227mp74d,tufts:pa.assembly.franklin.1803
b2773v86f,tufts:pa.commissioner.waynecounty.1822
cv43nw97p,tufts:me.secretaryofstate.1824
g732d913j,tufts:me.statesenate.cumberland.1821
dj52w475p,tufts:ny.assembly.herkimer.1802
pn89d672m,tufts:ny.assembly.greene.1818
1g05fb80x,tufts:me.governorscouncil.1824
1n79h443h,tufts:pa.director.bucks.1817
2z10wq42f,tufts:pa.senator.franklincounty.1794
vd66w004q,tufts:sc.senate.st.mathews.1822
v405s950v,tufts:nc.houseofcommons.lincoln.1824
c821gj973,tufts:nc.houseofcommons.bertie.1821
s7526c58s,tufts:nc.houseofcommons.franklin.1811
mc87pq416,tufts:sc.statesenate.st.bartholomews.1790
rf55z7888,tufts:va.uscongress.5.1805
9w0323196,tufts:va.uscongress.17.1803
9w032318x,tufts:pa.inspector.dock.philadelphiacity.1820
2514nk70j,tufts:ny.assembly.greene.1810
m613mx72g,tufts:ny.assembly.greene.1821
37720c880,tufts:nc.houseofcommons.lincoln.1814
2227mp777,tufts:nc.statesenator.nash.1809
9s161635b,tufts:pa.inspector.philadelphiacity.newmarket.1808
x059c7507,tufts:nc.uscongress12.1823
0c483j51k,tufts:la.uscongress2.1822
8g84mm38c,tufts:nc.uscongress6.1796
bz60cw37t,tufts:nc.uscongress4.1796
rn301159f,tufts:pa.commissioner.chestercounty.1799
ft848q847,tufts:pa.commissioner.luzernecounty.1799
p8418n36g,tufts:ma.uscongress.norfolk.1804
3f462554x,tufts:pa.auditor.lancastercounty.1822
1z40kt008,tufts:pa.director.bucks.1821
s7526c592,tufts:pa.director.cumberland.1809
2v23vt540,tufts:nc.statesenator.wake.1824
cv43nx02b,tufts:nc.statesenator.rutherford.1815
0p096706r,tufts:ny.assembly.greene.1812
5m60qs08m,tufts:ny.assembly.greene.1815
zc77sq274,tufts:ky.uscongress4.1806
0r9673933,tufts:ny.assembly.herkimer.1792
6969z100q,tufts:nc.statesenator.rowan.1814
08612n733,tufts:nc.statesenator.randolph.1817
0c483j534,tufts:nc.statesenator.orange.1824
r494vk23n,tufts:ky.specialassemblymontgomery.1797
wm117p185,tufts:pa.director.chester.1815
9306sz54d,tufts:va.houseofdelegates.westmoreland.1804
m900nt51z,tufts:va.houseofdelegates.rockbridge.1803
b2773v898,tufts:va.houseofdelegates.shenandoah.1795
cv43nx055,tufts:pa.inspector.highstreet.1824
hd76s019k,tufts:nc.uscongress3.1817
6682x419x,tufts:nc.uscongress3.1810
9g54xh83v,tufts:pa.coroner.centre.1803
kp78gg56z,tufts:nc.uscongress5.1796
xp68kg392,tufts:pa.auditor.waynecounty.1822
n583xv14d,tufts:va.uscongress.16.1815
qr46r101r,tufts:va.uscongress.3.1803
f4752h01v,tufts:pa.directorofthepoor.lancaster.1807
5712m6809,tufts:pa.director.lancaster.1811
2514nk766,tufts:va.uscongress.21.1819
7p88cg77z,tufts:pa.inspector.southmulberry.1823
j098zb22h,tufts:nc.statesenator.warren.1819
c821gj98c,tufts:nc.statesenator.warren.1823
tq57nr29j,tufts:ny.uscongress21.1818
6q182k39x,tufts:ny.uscongress16.1806
bc386j37h,tufts:ny.uscongress13.1808
k930bx26z,tufts:pa.inspector.highstreet.1801
3b5918745,tufts:mo.assembly.washington.1815
5425k9870,tufts:mo.speaker.1820
gx41mh98g,tufts:mo.sheriff.lincoln.1820
z890rt45j,tufts:pa.director.cumberland.1813
8p58pd15t,tufts:ny.assembly.delaware.1804
gq67jr38r,tufts:ny.assembly.delaware.1803
4x51hj29h,tufts:ny.assembly.herkimer.1809
zk51vg98c,tufts:ny.assembly.greene.1822
w0892b14q,tufts:ny.assembly.greene.1823
2n49t191t,tufts:pa.assembly.beavercounty.1824
b2773v92k,tufts:pa.trustees.somerset.1823
dn39x174x,tufts:ma.staterepresentative.charlemont.1804
2801pg509,tufts:nc.statesenator.surry.1813
8336h2114,tufts:nc.statesenator.rutherford.1806
fx719m71d,tufts:mo.statesenate.cole.cooper.saline.1.1824
nz805z95m,tufts:mo.assembly.cooper.1824
6w924c073,tufts:sc.senate.special.union.1811
8g84mm437,tufts:mo.statesenate.jeffersonandwashington.1820
n296wz40s,tufts:sc.senate.special.winton.1794
4f16c2963,tufts:sc.warden.charleston.ward1.1819
6d56zw79r,tufts:sc.uscongress.georgetown.1798
k06987653,tufts:sc.senate.claremont.1814
cr56n1249,tufts:pa.auditor.lehigh.1818
8910jt851,tufts:sc.sheriff.georgetown.1823
4x51hj32t,tufts:nc.uscongress10.1800
cv43nx080,tufts:nc.uscongress10.1803
r494vk36q,tufts:nc.uscongress6.1795
1c18df99d,tufts:ny.statesenatewestern.1808
70795787c,tufts:ma.governor.1791
m613mx79d,tufts:ny.assembly.kings.1807
st74cq74r,tufts:ny.assembly.kings.1806
dr26xx626,tufts:ny.assembly.kings.1804
rb68xc06r,tufts:nc.houseofcommons.mecklenburg.1824
qj72p730f,tufts:nc.houseofcommons.granville.1806
1n79h447m,tufts:ma.uscongress.plymouth.1808
5d86p0509,tufts:nc.uscongress2.1800
st74cq78v,tufts:nc.uscongress5.1791
zs25x8674,tufts:tn.assistantclerk2.1807
v692t6499,tufts:nc.statesenator.mecklenburg.1808
0p096714f,tufts:nc.houseofcommons.pitt.1820
5d86p049j,tufts:tn.statesenate.10.1823
z029p4982,tufts:tn.clerkhouserepresentatives.1807
8c97kq61x,tufts:mo.specialstatesenate.stlouis.1821
kk91fk72t,tufts:nc.statesenator.nash.1810
k930bx34n,tufts:pa.assembly.bucks.1809
8k71nh41x,tufts:pa.assembly.lycoming.1804
n583xv25x,tufts:nc.statesenator.richmond.1812
6969z110z,tufts:nj.uscongress.1797
fn106z141,tufts:mo.sheriff.stlouis.1820
7d278t334,tufts:ma.staterepresentative.fitchburg.1815
1544bp36k,tufts:ma.governor.1814
8s45q909x,tufts:ma.senator.worcester.1810
3n203z28m,tufts:ma.senator.essex.1811
ws859f89n,tufts:sc.uscongress.sumpter.1816
2v23vt61d,tufts:sc.uscongress.abbeville.1824
gb19f599f,tufts:sc.uscongress.chester.1810
1831ck07c,tufts:nc.uscongress1.1823
8p58pd295,tufts:nc.uscongress1.1800
th83kz68g,tufts:ky.speakerofthehouse.1814
pc289j29k,tufts:nc.uscongress13.1823
xg94hp73m,tufts:pa.auditor.indiana.1811
kp78gg67g,tufts:pa.auditor.huntingdon.1813
gh93gz797,tufts:tn.governor.1799
gb19f6000,tufts:oh.auditor.montgomery.1821
d504rk56g,tufts:oh.auditor.ashtabulacounty.1821
fb4948756,tufts:ky.assemblybutlergrayson.1815
k930bx38r,tufts:pa.auditor.philadelphiacitycounty.1819
4t64gn36p,tufts:pa.auditor.york.1813
qj72p734j,tufts:pa.commissioner.adams.1809
0z708w79k,tufts:ny.assembly.onondaga.1800
2514nk812,tufts:ma.staterepresentative.frankfort.1813
dj52w492b,tufts:ma.staterepresentative.bernardston.1798
gh93gz800,tufts:md.assembly.montgomery.county.1824
hx11xf55j,tufts:ma.staterepresentative.leyden.1816
2801pg58h,tufts:ma.staterepresentative.weston.1808
kw52j840j,tufts:ma.staterepresentative.weston.1800
d791sg501,tufts:ma.staterepresentative.chatham.1804
sb397853x,tufts:pa.assembly.franklin.1821
w3763717s,tufts:pa.assembly.franklin.1808
fj236243d,tufts:pa.assembly.fayettecounty.1822
3b591881k,tufts:md.assembly.charles.county.1824
jd472w76t,tufts:nj.coroner.cumberland.1802
k3569471g,tufts:ny.assembly.richmond.1810
4b29b6253,tufts:nj.coroner.cumberland.1804
8k71nh469,tufts:ny.assembly.richmond.1815
h989r3492,tufts:ny.assembly.richmond.1818
3b591882v,tufts:ny.assembly.niagara.1824
kd17ct192,tufts:ny.assembly.queens.1824
df65v814x,tufts:ma.staterepresentative.falmouth.1807
d791sg544,tufts:ma.staterepresentative.fitchburg.1811
5712m698r,tufts:ma.staterepresentative.tisbury.1804
wm117p37c,tufts:pa.commissioner.alleghenybeaverbutler.1801
6969z115b,tufts:pa.uscongress6.1816
12579s548,tufts:pa.statetreasurer.secondballot.1822
jw827b958,tufts:pa.commissioner.allegheny.1817
ng451h752,tufts:nj.coroner.monmouth.1801
v405s9646,tufts:nj.sheriff.cumberland.1809
hm50ts01f,tufts:ny.assembly.orange.1788
f1881m17h,tufts:nj.legislativecouncil.cumberland.1811
nv935317c,tufts:ma.staterepresentative.charlestown.1813
n009w253t,tufts:ny.assembly.richmond.1809
76537169x,tufts:ma.staterepresentative.first.bernardston.1808
1544bp41f,tufts:ny.assembly.richmond.1803
9593tv39h,tufts:ny.assembly.richmond.1807
td96k278n,tufts:ma.staterepresentative.watertown.third.1797
pk02cb02n,tufts:md.citycouncil.baltimore.secondbranch11.1817
44558d75j,tufts:md.citycouncil.baltimore.secondbranch9.1817
5q47rp016,tufts:md.citycouncil.baltimore.secondbranch8.1824
fn106z205,tufts:ny.assembly.saratoga.1819
nk322d73r,tufts:md.assembly.washington.county.1815
p2676v84n,tufts:md.assembly.worcester.county.1808
gm80hv55w,tufts:md.assembly.dorchester.county.1809
bg257f37r,tufts:ma.moderator.worcester.1813
h702q659t,tufts:ma.governor.1806
c247ds31q,tufts:ma.senator.worcester.1824
cc08hf91z,tufts:ma.senate.hampshire.1806
jh343s630,tufts:md.assembly.baltimore.city.1822
gq67jr544,tufts:md.assembly.baltimore.county.1806
0k225b423,tufts:md.assembly.baltimore.county.1804
4f16c305v,tufts:pa.ussenate.1814
c247ds338,tufts:pa.coroner.union.1813
5h73pw41d,tufts:pa.senator.franklincounty.1795
wd375w58n,tufts:pa.senator.yorkcounty.1795
79407x444,tufts:pa.commissioner.somerset.1802
k0698776m,tufts:oh.staterepresentative.adams.and.scioto.1807
9k41zd63m,tufts:me.uscongress3.fourth.1825
k930bx21k,tufts:me.uscongress1.1820
9s161633s,tufts:pa.inspector.cedar.1824
1544bp227,tufts:pa.inspector.cedar.1823
xp68kg33d,tufts:mo.assembly.howard.1824
6682x408d,tufts:oh.auditor.montgomery.1822
js956g03h,tufts:nc.ussenator2.1804
9c67wm944,tufts:pa.governor.1796
pk02c9881,tufts:ny.assembly.dutchess.1818
707957838,tufts:tn.congress.2.1817
tt44pm980,tufts:nc.houseofcommons.granville.1823
qr46r097c,tufts:nc.statesenator.mecklenburg.1811
rx913q023,tufts:nc.houseofcommons.cabarrus.1821
h415p9678,tufts:pa.director.adams.1819
4q77fr55n,tufts:sc.senate.special.allsaints.1804
5712m6745,tufts:sc.ltgovernor.1814
41687h652,tufts:sc.senate.claremont.1810
hd76s0171,tufts:nc.uscongress7.1819
d791sg40s,tufts:pa.inspector.philadelphiacity.highstreet.1808
0z708w64z,tufts:pa.inspector.lowerdelaware.1807
p8418n34x,tufts:nc.ussenator11.1814
z603qx67c,tufts:nc.houseofcommons.lincoln.1818
8623hx89w,tufts:nc.houseofcommons.mecklenburg.1809
n870zq98g,tufts:nc.houseofcommons.mecklenburg.1806
6682x4120,tufts:nc.uscongress5.1803
d504rk45z,tufts:sc.uscongress.charleston.1818
7m01bk898,tufts:nc.uscongress5.1800
h702q645g,tufts:sc.uscongress.charleston.1823
xp68kg35z,tufts:pa.inspector.northmulberry.1815
ws859f805,tufts:pa.inspector.northward.philadelphiacity.1821
bn999683c,tufts:nc.uscongress5.1798
jm214p263,tufts:sc.uscongress.district6.1808
xs55mc20k,tufts:pa.inspector.chesnut.1801
sn009x88c,tufts:oh.auditor.miami.1821
nz805z91h,tufts:pa.inspector.dauphin.harrisburgh.1817
wp988j973,tufts:nc.statesenator.orange.1815
fb494865z,tufts:nc.statesenator.surry.1814
vx021f21m,tufts:nc.statesenator.sampson.1809
1v53jx11j,tufts:ct.congress.1810
dn39x170t,tufts:nc.statesenator.robeson.1815
1g05fb841,tufts:nc.statesenator.orange.1820
tx31qh791,tufts:nc.statesenator.robeson.1818
5d86p041b,tufts:ny.uscongress11.1802
9c67wn002,tufts:pa.inspector.locustward.philadelphiacity.1821
hm50tr89c,tufts:pa.inspector.middleward.1818
fx719m683,tufts:pa.inspector.middleward.philadelphiacity.1821
7d278t25f,tufts:mo.territorydelegate.1812
bv73c051k,tufts:va.statesenate.3.1.1812
4f16c294j,tufts:mo.statesenate.stlouis.1820
4t64gn24w,tufts:mo.statesenate.st.louis.3.1824
9306sz55p,tufts:va.houseofdelegates.westmoreland.1789
gx41mh976,tufts:ny.assembly.greene.1820
vm40xr737,tufts:ny.assembly.greene.1802
dz010q277,tufts:ny.assembly.greene.1817
736664649,tufts:la.elector.president.1812
5d86p043w,tufts:pa.inspector.philadelphiacity.lowerdelaware.1812
h415p974p,tufts:pa.director.bucks.1816
gh93gz68q,tufts:nc.statesenator.rowan.1815
5d86p0445,tufts:nc.statesenator.rowan.1816
1c18df96k,tufts:sc.senate.st.bartholomews.1802
ft848q89m,tufts:sc.senate.spartanburgh.1798
sq87bt762,tufts:nc.statesenator.wake.1804
kh04dp89s,tufts:sc.senate.st.bartholomews.1806
mw22v561z,tufts:pa.governor.1817
0v838073v,tufts:pa.governor.1793
7m01bk92k,tufts:ny.uscongress13.1821
pv63g047r,tufts:ny.uscongress13.1816
n870zr04d,tufts:pa.inspector.upperdelaware.1806
bc386j38s,tufts:ma.staterepresentative.brookfield.1801
sq87bt79w,tufts:pa.inspector.philadelphiacity.lowerdelaware.1810
8g84mm42z,tufts:pa.inspector.philadelphiacity.northmulberry.1810
cf95jb648,tufts:ky.uscongress2.1806
f1881m02w,tufts:ky.uscongress2.1803
1r66j136b,tufts:ky.uscongress2.1804
bc386j40t,tufts:ny.assembly.jefferson.1809
q524jn89x,tufts:va.uscongress.19.1799
n870zr06z,tufts:va.uscongress.12.1797
s1784k91b,tufts:va.uscongress.13.1811
37720c93v,tufts:pa.council.philadelphiacity.1822
8910jt826,tufts:pa.council.philadelphiacity.special.1822
7w62f8366,tufts:nc.houseofcommons.chatham.1815
n296wz43m,tufts:nc.houseofcommons.newhanover.1817
12579s441,tufts:nc.houseofcommons.johnston.1824
jd472w66k,tufts:nc.statesenator.montgomery.1810
05741r94m,tufts:nc.statesenator.nash.1820
7h149p998,tufts:nc.statesenator.montgomery.1800
0c483j60j,tufts:me.electors.somerset_penobscot.1824
p5547r61k,tufts:me.elector3.1820
9g54xh87z,tufts:pa.directorofthepoor.dauphin.1806
7m01bk944,tufts:nc.uscongress10.1796
c534fp131,tufts:nc.houseofcommons.guilford.1820
s7526c64x,tufts:nc.houseofcommons.carteret.1823
9k41zd701,tufts:oh.auditor.geaugacounty.1823
gx41mj01k,tufts:nc.uscongress4.1800
zc77sq34j,tufts:nc.uscongress6.1803
nz805z975,tufts:nc.uscongress4.special.1795
tm70mv419,tufts:pa.director.york.1810
hd76s022w,tufts:pa.sheriff.bedfordcounty.1789
6395w736b,tufts:nc.uscongress4.1821
1544bp32g,tufts:nc.uscongress3.1823
08612n78g,tufts:nc.uscongress4.1791
7p88cg808,tufts:nc.houseofcommons.person.1816
zk51vh006,tufts:nc.houseofcommons.perquimans.1819
cr56n1274,tufts:nc.houseofcommons.perquimans.1818
w0892b193,tufts:nc.uscongress11.1810
8910jt88v,tufts:pa.housespeaker.1823
2n49t1923,tufts:nc.uscongress10.1795
rr171x59s,tufts:pa.director.special.montgomery.1819
cz30ps900,tufts:pa.director.york.1808
8910jt894,tufts:nc.speakerofhouseofcommons4.1821
ff3655524,tufts:nc.speakerofhouseofcommons3.1821
jh343s48w,tufts:nc.secretaryofstate6.1811
x920fw991,tufts:nc.houseofcommons.franklin.1818
6108vb50z,tufts:nc.uscongress1.1821
j098zb242,tufts:nc.uscongress1.1798
sb3978482,tufts:ma.senatepresident.3.1810
sq87bt81x,tufts:va.constitutionalconvention.amherst.1788
d791sg498,tufts:ma.staterepresentative.worcester.1789
1j92g770w,tufts:ma.staterepresentative.falmouth.1803
ff365553d,tufts:nc.uscongress4.1825
s7526c656,tufts:nc.uscongress5.1823
4t64gn301,tufts:ma.staterepresentative.salisbury.second.1812
pv63g059j,tufts:ma.staterepresentative.salisbury.first.1812
00000029z,tufts:nc.uscongress10.1793
n583xv223,tufts:oh.auditor.trumbullcounty.1821
xs55mc313,tufts:oh.auditor.rosscounty.1822
x633f118z,tufts:nc.ussenator.6.1798
